ASV domain phylum class order family genus species
ASV_221 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_222 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_223 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Edaphobaculum NA
ASV_224 Bacteria Myxococcota Polyangia Haliangiales Haliangiaceae Haliangium NA
ASV_225 Bacteria Actinobacteriota Actinobacteria Micrococcales Microbacteriaceae NA NA
ASV_226 Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Rhodanobacteraceae Rhodanobacter NA
ASV_227 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_228 Bacteria Actinobacteriota Actinobacteria Frankiales Frankiaceae Jatrophihabitans NA
ASV_229 Bacteria Actinobacteriota Thermoleophilia Gaiellales Gaiellaceae Gaiella NA
ASV_230 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_231 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_232 Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae NA NA
ASV_233 Bacteria Proteobacteria Alphaproteobacteria NA NA NA NA
ASV_234 Bacteria Gemmatimonadota Gemmatimonadetes Gemmatimonadales Gemmatimonadaceae Gemmatimonas NA
ASV_235 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Mycobacteriaceae Mycobacterium NA
ASV_236 Bacteria Myxococcota Polyangia Haliangiales Haliangiaceae Haliangium NA
ASV_238 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Puia NA
ASV_239 Bacteria Actinobacteriota Acidimicrobiia NA NA NA NA
ASV_240 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales 67-14 NA NA
ASV_241 Bacteria Actinobacteriota Actinobacteria Micrococcales Micrococcaceae NA NA
ASV_242 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Beijerinckiaceae Roseiarcus NA
ASV_243 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae Leptothrix NA
ASV_244 Bacteria Proteobacteria Gammaproteobacteria NA NA NA NA
ASV_245 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Marmoricola NA
ASV_246 Bacteria Actinobacteriota Thermoleophilia NA NA NA NA
ASV_247 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae NA NA
ASV_248 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Puia NA
ASV_249 Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Rhizorhapis NA
ASV_250 Bacteria Proteobacteria Alphaproteobacteria NA NA NA NA
ASV_251 Bacteria NA NA NA NA NA NA
ASV_252 Bacteria Actinobacteriota Actinobacteria Streptomycetales Streptomycetaceae Streptacidiphilus NA
ASV_253 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae NA NA
ASV_254 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_255 Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Xiphinematobacteraceae Candidatus Xiphinematobacter NA
ASV_256 Bacteria Actinobacteriota Actinobacteria Frankiales Frankiaceae Jatrophihabitans NA
ASV_257 Bacteria Proteobacteria Alphaproteobacteria NA NA NA NA
ASV_258 Bacteria Proteobacteria Gammaproteobacteria Vibrionales Vibrionaceae Photobacterium NA
ASV_259 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales 67-14 NA NA
ASV_260 Bacteria Proteobacteria Gammaproteobacteria Gammaproteobacteria Incertae Sedis Unknown Family_4 Acidibacter NA
ASV_261 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Oxalobacteraceae NA NA
ASV_262 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_263 Bacteria Actinobacteriota Actinobacteria Frankiales Nakamurellaceae Nakamurella NA
ASV_264 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_265 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Mycobacteriaceae Mycobacterium NA
ASV_266 Bacteria Actinobacteriota Actinobacteria NA NA NA NA
ASV_267 Bacteria Actinobacteriota Actinobacteria Frankiales NA NA NA
ASV_268 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales NA NA NA
ASV_269 Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae NA NA
ASV_270 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_271 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_272 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_273 Bacteria Actinobacteriota Actinobacteria Micromonosporales Micromonosporaceae Actinoplanes NA
ASV_274 Bacteria Actinobacteriota Acidimicrobiia IMCC26256 NA NA NA
ASV_275 Bacteria Myxococcota Polyangia Polyangiales Phaselicystidaceae Phaselicystis NA
ASV_276 Bacteria Actinobacteriota Actinobacteria Catenulisporales Actinospicaceae Actinospica NA
ASV_277 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
